Item ID,Name (VN),Name (EN),Category,Subcategory,Is Removable,Restricted To Class,Effect ID,Effect Value,Effect Duration,Secondary Effect ID,Secondary Effect Value,Rarity,Price (Gold),Can Drop,Can Buy,Description (VN)
item_t07,Kiếm Thánh,Holy Blade,trinket,passive,Yes,All,eff_bonus_undead,+20% dmg vs Undead,on hit vs undead,,,Uncommon,160,Yes,Yes,Thụ động +20% sát thương khi đánh Undead. Tốt hơn cả ở Stage 2-3 khi Skeleton nhiều.
item_t08,Dây Chuyền Xương,Bone Necklace,trinket,passive,Yes,All,eff_dmg_buff,+12% dmg,combat,eff_stress_tick,+3 stress/turn,Uncommon,120,Yes,Yes,Tăng 12% dmg nhưng nhận thêm 3 stress/lượt. Mang nếu có kháng stress cao.
item_t09,Mắt Thần,All-Seeing Eye,trinket,passive,Yes,All,eff_perm_acc,+12 accuracy,combat,,,Uncommon,140,Yes,Yes,Tăng 12 accuracy khi đang trang bị. Tốt nhất cho class có accuracy thấp như Berserker.
item_t10,Áo Choàng Bóng Đêm,Shadowcloak,trinket,passive,Yes,All,eff_stealth,Stealth at combat start (1 turn),1 turn,,,Rare,200,Yes,Yes,Bắt đầu chiến đấu ở trạng thái Ẩn Thân 1 lượt — địch không thể nhắm vào hero. Mất khi tấn công.
item_t11,Vòng Tay Chữa Lành,Healing Bracelet,trinket,passive,Yes,All,eff_regen,+3 HP/turn,every turn,,,Uncommon,130,Yes,Yes,Thụ động hồi 3 HP/lượt trong suốt chiến đấu. Ổn định hơn potion.
item_t12,Đá Rune Kháng Độc,Poison Ward Stone,trinket,passive,Yes,All,eff_resist_dot,50% chance to resist Poison/Bleed application,on apply,,,Uncommon,110,Yes,Yes,50% cơ hội kháng lại khi bị áp Poison hoặc Bleed. Không ảnh hưởng Burn.
item_cs01,Khiên Phúc Lành,Blessed Shield,trinket,class_specific,Yes,Chiến Binh,eff_taunt_heal,Taunt also heals 6 HP/turn while active,during taunt,,,Rare,220,Yes,Yes,"CHỈ Chiến Binh: khi Taunt đang hoạt động, tự động hồi 6 HP/lượt. Biến Taunt thành kỹ năng tấn công lẫn phòng thủ."
item_cs02,Cung Vàng,Golden Bow,trinket,class_specific,Yes,Cung Thủ,eff_mark_extend,Mark Target lasts 5 turns instead of 3,passive,,,Rare,220,Yes,Yes,CHỈ Cung Thủ: Đánh Dấu Mục Tiêu kéo dài 5 lượt thay vì 3. Tăng thời gian đội nhận bonus dmg.
item_cs03,Bình Thuốc Đặc Chế,Enhanced Brew,consumable,class_specific,Yes,Tăng Lữ,eff_heal_cleanse,Heal 15 HP + remove 1 disease,instant,,,Rare,180,Yes,Yes,CHỈ Tăng Lữ: kết hợp hồi 15 HP với xóa 1 bệnh. Tiết kiệm lượt so với dùng 2 kỹ năng riêng.
item_cs04,Dao Độc Nâng Cấp,Venom Blade,trinket,class_specific,Yes,Sát Thủ,eff_poison_enhance,Poison stacks to 5 (instead of 3) + +1 dmg/stack,passive,,,Rare,240,Yes,Yes,CHỈ Sát Thủ: Poison tích lũy tối đa 5 chồng (thường là 3) và mỗi chồng gây thêm 1 dmg.
item_cs05,Lửa Thiêng,Sacred Flame,trinket,class_specific,Yes,Thánh Kỵ Sĩ,eff_aura_enhance,Holy Aura reduces 5 stress/turn (instead of 3),passive,,,Rare,230,Yes,Yes,CHỈ Thánh Kỵ Sĩ: Aura Thánh Thần giảm 5 stress/lượt thay vì 3. Cực kỳ mạnh cho đội có stress cao.
item_cs06,Lõi Nham Thạch,Magma Core,trinket,class_specific,Yes,Pháp Sư Hỏa,eff_burn_enhance,Burn deals +2 dmg per stack,passive,,,Rare,240,Yes,Yes,CHỈ Pháp Sư Hỏa: mỗi chồng burn gây thêm 2 dmg. Biến burn 5 stacks từ 10 dmg thành 20 dmg/lượt.
item_cs07,Trống Thần,Spirit Drum,trinket,class_specific,Yes,Thầy Cúng,eff_totem_extend,All Totems last 5 turns (instead of 3),passive,,,Rare,220,Yes,Yes,CHỈ Thầy Cúng: mọi Totem tồn tại 5 lượt thay vì 3. Tăng đáng kể tổng giá trị của Totem.
item_cs08,Sách Nguyền Tối,Grimoire of Curses,trinket,class_specific,Yes,Thuật Sĩ Ký Ước,eff_curse_perm,Curse (Warlock) becomes permanent debuff,passive,,,Epic,300,No,No,"CHỈ Thuật Sĩ Ký Ước: kỹ năng Lời Nguyền biến thành debuff VĨNH VIỄN. Item Epic, chỉ drop từ boss."
item_cs09,Đàn Ma,Spirit Lute,trinket,class_specific,Yes,Du Ca,eff_song_enhance,Battle Song gives +5 speed (instead of +3),passive,,,Rare,220,Yes,Yes,CHỈ Du Ca: Đàn Chiến buff +5 tốc độ toàn đội thay vì +3. Đội thường đánh trước địch hoàn toàn.
item_cs10,Xương Quyền Lực,Bones of Power,trinket,class_specific,Yes,Tử Linh Sư,eff_summon_enhance,Raise Dead summons at 75% stats (instead of 50%),passive,,,Rare,250,No,Yes,CHỈ Tử Linh Sư: Triệu Hồn tạo Bộ Xương với 75% chỉ số gốc thay vì 50%. Mạnh hơn đáng kể.
item_cs11,Vòng Tay Thiền Định,Meditation Band,trinket,class_specific,Yes,Võ Thánh,eff_meditate_free,Meditate costs no turn action,passive,,,Epic,280,No,No,CHỈ Võ Thánh: Thiền Định không tốn lượt hành động. Có thể thiền + tấn công cùng 1 lượt. Drop boss.
item_cs12,Nanh Gấu,Bear Fang,trinket,class_specific,Yes,Pháp Sư Tự Nhiên,eff_bear_enhance,Bear Form grants +50% HP (instead of +30%),passive,,,Rare,230,Yes,Yes,CHỈ Pháp Sư Tự Nhiên: Dạng Gấu tăng +50% HP tối đa thay vì +30%. Biến Druid thành tank thực sự.
item_cs13,Lông Vũ Phượng Hoàng,Phoenix Feather,trinket,class_specific,Yes,Pháp Sư Hỏa,eff_rebirth_extra,Flame Rebirth works twice per dungeon,passive,,,Epic,320,No,No,CHỈ Pháp Sư Hỏa: Hồi Sinh Lửa có thể kích hoạt 2 lần/dungeon thay vì 1. Cực hiếm.
item_cs14,Mũ Pháp Sư Huyết,Blood Mage Crown,trinket,class_specific,Yes,Pháp Sư,eff_lightning_enhance,Lightning stun chance increased to 80%,passive,,,Rare,260,No,Yes,CHỈ Pháp Sư: Sét Giáng có 80% stun thay vì 50%. Biến lightning thành CC tin cậy.
item_r01,Tim Rồng,Dragon Heart,relic_buff,relic_passive,No,All,eff_perm_hp,+8 max HP permanent,permanent,eff_perm_dmg,+10% dmg permanent,Epic,0,No,No,VĨNH VIỄN: +8 HP tối đa và +10% sát thương. Một khi trang bị không thể tháo ra. Chỉ drop từ boss cuối stage.
item_r02,Mắt Quỷ Đỏ,Demon Eye,relic_buff,relic_passive,No,All,eff_perm_crit,+12% crit permanent,permanent,eff_perm_sr_down,-10% stress resist permanent,Epic,0,No,No,VĨNH VIỄN: +12% crit nhưng -10% kháng stress. Relic có cả buff lẫn nhược điểm. Drop ngẫu nhiên.
item_r03,Nắm Đấm Thần Thánh,Divine Fist,relic_buff,relic_passive,No,All,eff_perm_dmg,+5 flat dmg permanent,permanent,,,Epic,0,No,No,VĨNH VIỄN: +5 sát thương cố định mọi đòn. Đơn giản nhưng hiệu quả cả game.
item_r04,Hào Quang Thánh,Holy Halo,relic_buff,relic_passive,No,All,eff_perm_curse_immune,Immune to all curse/permanent debuff,permanent,,,Epic,0,No,No,VĨNH VIỄN: miễn nhiễm hoàn toàn mọi Curse và Permanent Debuff. Cực kỳ quý giá.
item_r05,Giọt Nước Mắt Phượng,Phoenix Tear,relic_buff,relic_passive,No,All,eff_perm_undying,Survive once per dungeon at 1 HP,1/dungeon,,,Epic,0,No,No,"VĨNH VIỄN: một lần mỗi dungeon, sống sót với 1 HP khi bị hạ gục. Hồi lại sau khi về Hamlet."
item_cu01,Vòng Cổ Nguyền,Cursed Collar,cursed_item,cursed_passive,No,All,eff_perm_spd_down,-2 speed permanent,permanent,,,Cursed,0,Yes,No,NGUYỀN RỦA VĨNH VIỄN: -2 tốc độ. Xuất hiện trong event bẫy hoặc mở rương nguyền. Chỉ Tẩy Trần mới xóa được.
item_cu02,Nhẫn Nguyền Rủa,Cursed Ring,cursed_item,cursed_passive,No,All,eff_perm_sr_down,-15% stress resist permanent,permanent,eff_dmg_buff,+8% dmg,Cursed,0,Yes,No,NGUYỀN RỦA VĨNH VIỄN: -15% kháng stress nhưng +8% dmg. Mồi nhử nguy hiểm — dmg hấp dẫn nhưng đánh đổi rất đắt.
item_cu03,Mặt Nạ Quỷ,Demon Mask,cursed_item,cursed_passive,No,All,eff_perm_aggro,Enemies always prioritize this hero,permanent,eff_perm_acc_down,-15 accuracy permanent,Cursed,0,Yes,No,NGUYỀN RỦA VĨNH VIỄN: địch luôn ưu tiên tấn công hero này VÀ -15 accuracy. Thảm họa nếu không phải Tank.
item_cu04,Xiềng Bóng Tối,Ghost Chains,cursed_item,cursed_passive,No,All,eff_perm_no_movement,Cannot use position-changing skills,permanent,eff_dmg_buff,+15% dmg,Cursed,0,Yes,No,NGUYỀN RỦA VĨNH VIỄN: không thể thay đổi vị trí chiến đấu. +15% dmg bù lại nhưng mất hoàn toàn tính linh hoạt.
item_cu05,Trái Tim Bóng Tối,Dark Heart Shard,cursed_item,cursed_passive,No,All,eff_perm_stress_tick,+3 stress/turn in dungeon permanent,permanent,eff_perm_crit,+10% crit,Cursed,0,Yes,No,NGUYỀN RỦA VĨNH VIỄN: +3 stress/lượt trong dungeon nhưng +10% crit bù lại. Mang nếu có Du Ca hoặc Tăng Lữ hỗ trợ.
item_cu06,Áo Giáp Hỏa Ngục,Hellfire Armor,cursed_item,cursed_passive,No,All,eff_perm_blood_tick,-2 HP/turn permanent,permanent,eff_perm_def,+25% DEF permanent,Cursed,0,Yes,No,NGUYỀN RỦA VĨNH VIỄN: -2 HP/lượt nhưng +25% phòng thủ vĩnh viễn. Phù hợp Tank có Tăng Lữ đi kèm.
item_cu07,Gương Bẻ Cong,Shattered Mirror,cursed_item,cursed_passive,No,All,eff_perm_heal_cap,Cannot receive healing above 50% HP,permanent,eff_perm_spd,+3 speed permanent,Cursed,0,Yes,No,NGUYỀN RỦA VĨNH VIỄN: không thể hồi quá 50% HP từ heal. +3 tốc độ thường trực bù lại. Đặc biệt nguy hiểm với class HP thấp.
