Effect ID,Name (VN),Name (EN),Category,Is Removable,Removal Condition,Duration Type,Default Duration,Stat Affected,Modifier Type,Modifier Value,Can Stack,Max Stacks,Trigger,Source Type,Source Examples,Visual Cue,Balance Notes,Description (VN),Icon Key
eff_kill_heal,Hồi Khi Tiêu Diệt,On-Kill Heal,buff,Yes,,turns,2,hp,on_kill,full restore,No,1,on_kill,,Blood Feast (Berserker),,,"Khi hạ gục địch trong N lượt, hồi đầy HP ngay lập tức.",
eff_party_extra_action,Hành Động Thêm,Extra Action,buff,Yes,,instant,1,action,bonus,+1 this turn,No,1,passive,,"War Dance (Bard), Victory Song (Bard)",,,Hero nhận thêm 1 hành động ngay trong lượt hiện tại. Áp dụng sau khi lượt bình thường kết thúc.,
eff_stealth,Ẩn Thân,Stealth,buff,Yes,,turns,1,targeting,untargetable,enemies cant target,No,1,passive,,Shadow Cloak (item),,,Địch không thể nhắm mục tiêu vào hero trong N lượt. Mất hiệu lực khi tấn công.,
eff_stun,Choáng Váng,Stun,debuff,Yes,,turns,1,action,skip,skip turn,No,1,on_hit,,"Shield Slam, Lightning, Thunder Punch, AoE Stun",,,Mục tiêu bỏ qua hoàn toàn lượt tiếp theo. Không thể né tránh stun bằng dodge.,icon_stun
eff_slow,Chậm Chạp,Slow,debuff,Yes,,turns,2,speed,percent,-30%,No,1,passive,,"Frost Nova (Mage), Cursed Collar (item)",,,"Giảm X% tốc độ trong N lượt, trì hoãn turn order.",icon_slow
eff_silence,Câm Lặng,Silence,debuff,Yes,,turns,1,skills,block,no special skills,No,1,passive,,Throat Cut (Assassin),,,"Không thể dùng kỹ năng đặc biệt, chỉ tấn công cơ bản. Kéo dài 1 lượt.",
eff_immobilize,Trói Buộc,Immobilize,debuff,Yes,,turns,2,movement,block,cannot change position,No,1,passive,,"Entangle, Pin Down, Bẫy Chông, Earth Grasp",,,Không thể thay đổi vị trí (hàng trước/sau) trong N lượt. Vẫn có thể tấn công.,
eff_acc_debuff,Mù Quáng Tạm Thời,Accuracy Down,debuff,Yes,,turns,2,accuracy,flat,-20 to -25,No,1,passive,,"Smoke Screen (Assassin), Blindness (disease)",,,Giảm X độ chính xác trong N lượt. Gây trượt đòn nhiều hơn.,
eff_dmg_debuff,Giảm Sát Thương,DMG Down,debuff,Yes,,turns,3,dmg,percent,-20 to -30%,No,1,passive,,"Curse (Warlock), Cursed Lullaby (Bard), Binding Ritual (Shaman)",,,Giảm X% sát thương trong N lượt.,
eff_mark,Đánh Dấu Mục Tiêu,Marked,debuff,Yes,,turns,3,dmg_received,percent,+15%,No,1,passive,,Mark Target (Archer),,,Mục tiêu bị đánh dấu nhận thêm X% sát thương từ toàn đội. Chỉ áp lên 1 mục tiêu cùng lúc.,
eff_confusion,Hoảng Loạn,Confused,debuff,Yes,,turns,1,action,random,random action,No,1,on_turn_start,,"Cursed Lullaby (Bard), Death's Waltz (Bard)",,,Mục tiêu thực hiện hành động ngẫu nhiên trong lượt đó thay vì hành động có chủ ý.,
eff_melancholy,Mất Ý Chí,Melancholy,debuff,Yes,,triggered,1,action,skip,skip next turn,No,1,on_turn_start,,Lament (Bard),,,"Địch mất ý chí chiến đấu, bỏ lỡ 1 lượt và nhận stress đáng kể.",
eff_knockback,Đẩy Lùi,Knockback,debuff,Yes,,instant,0,position,force_move,back row,No,1,on_hit,,"Explosive Charge (Berserker), Thunder Punch (Monk)",,,"Đẩy mục tiêu ra hàng sau ngay lập tức. Nếu đã ở hàng sau, gây thêm 5 dmg thay thế.",
eff_timed_debuff_then_cc,Nguyền Rủa Có Thời Hạn,Timed Curse,debuff,Yes,,turns,4+1,dmg,percent_then_cc,-30% dmg x4 then confused x1,No,1,on_turn_start,,Cursed Lullaby (Bard),,,"Hiệu ứng 2 giai đoạn: debuff sát thương N lượt, sau đó tự động chuyển thành CC 1 lượt.",
eff_zone_dot,Vùng Nguy Hiểm,Danger Zone,zone,No,,turns,3,hp,flat_per_turn,varies,No,1,on_turn_start,,"Lava Pool (Pyromancer), Tường Lửa (Pyromancer)",,,Vùng được đặt trên sân: địch ở trong vùng nhận sát thương/hiệu ứng mỗi lượt. Không thể di chuyển ra nếu bị immobilize.,
eff_zone_buff,Vùng Hỗ Trợ,Support Zone,zone,No,,turns,3,various,aura,varies,No,1,on_turn_start,,"Healing Totem, War Totem, Calm Totem (Shaman)",,,Vùng totem đặt trên sân: đồng đội trong vùng nhận buff/heal/stress reduce mỗi lượt.,
eff_execute_threshold,Ngưỡng Xử Quyết,Execute Ready,debuff,Yes,,permanent_on_target,0,hp,threshold,20 to 35%,No,1,passive,,"Execute (Assassin), Death Mark (Assassin)",,,Đánh dấu mục tiêu với ngưỡng Execute tăng lên. Áp dụng với kỹ năng Tử Hình.,
eff_perm_dmg,Sức Mạnh Tối Thượng,Supreme Power,permanent_buff,No,,permanent,inf,dmg,percent,+15%,No,1,passive,,"Eternal Pact (Warlock), Relic: Dragon Heart",,,VĨNH VIỄN tăng 15% sát thương. Không thể bị dispel bởi bất kỳ kỹ năng nào ngoài Tẩy Trần (Paladin).,
eff_perm_hp,Sinh Lực Sung Mãn,Vitality Surge,permanent_buff,No,,permanent,inf,max_hp,flat,+8,No,1,passive,,"Relic: Dragon Heart, event reward",,,VĨNH VIỄN tăng HP tối đa +8.,
eff_perm_acc,Mắt Đại Bàng,Eagle Eye,permanent_buff,No,,permanent,inf,accuracy,flat,+10,No,1,passive,,Relic: All-Seeing Eye (item),,,VĨNH VIỄN tăng 10 độ chính xác.,
eff_perm_crit,Dấu Ân Crit,Critical Mark,permanent_buff,No,,permanent,inf,crit,percent,+5%,No,1,passive,,"Relic: Demon Eye, boss drop event",,,VĨNH VIỄN tăng 5% tỷ lệ crit.,
eff_perm_lifesteal,Ký Ước Máu,Blood Bond,permanent_buff,No,,permanent,inf,lifesteal,percent,10% on all attacks,No,1,on_hit,,Relic: Blood Ring (irremovable tier),,,VĨNH VIỄN 10% lifesteal trên mọi đòn tấn công.,
eff_perm_stress_start,Khí Phách,Battle Spirit,permanent_buff,No,,permanent,inf,stress,flat_start,-5 stress at combat start,No,1,on_combat_start,,"Relic: Calm Amulet (irremovable tier), event reward",,,Bắt đầu mỗi chiến đấu với 5 stress ít hơn. Tích lũy tốt cho run dài.,
eff_perm_undying,Linh Hồn Bất Diệt,Undying Will,permanent_buff,No,,triggered,1_per_dungeon,hp,survive_at_1,once per dungeon,No,1,on_death,,"Relic: Phoenix Tear (item), event reward",,,"Một lần mỗi dungeon: khi HP về 0, sống sót với 1 HP thay vì ngã xuống. Kỹ năng tương tự Flame Rebirth nhưng vĩnh viễn.",
eff_perm_curse_immune,Miễn Nguyền Rủa,Curse Immunity,permanent_buff,No,,permanent,inf,curse_effects,immunity,immune to curse,No,1,passive,,Relic: Holy Halo (item),,,VĨNH VIỄN miễn nhiễm tất cả hiệu ứng Curse và Permanent Debuff nhắm vào hero này.,
eff_perm_hp_down,Vết Thương Không Lành,Soul Wound,permanent_debuff,No,,permanent,inf,max_hp,percent,-20%,No,1,passive,,"Cursed item: Black Curse, boss curse attack",,,VĨNH VIỄN giảm 20% HP tối đa. Chỉ Tẩy Trần (Paladin) mới xóa được.,icon_affliction
eff_perm_sr_down,Tâm Trí Tan Vỡ,Shattered Mind,permanent_debuff,No,,permanent,inf,stress_resist,percent,-15%,No,1,passive,,"Cursed item: Cursed Ring, event curse",,,VĨNH VIỄN giảm 15% kháng stress. Hero dễ vào Affliction hơn.,icon_affliction
eff_perm_acc_down,Mù Vĩnh Viễn,Permanent Blind,permanent_debuff,No,,permanent,inf,accuracy,flat,-20,No,1,passive,,"Cursed Arrow (Archer), Cursed item: Demon Mask",,,VĨNH VIỄN giảm 20 độ chính xác. Nghiêm trọng hơn bệnh Blindness vì không chữa được.,icon_affliction
eff_perm_spd_down,Xương Gãy,Broken Bones,permanent_debuff,No,,permanent,inf,speed,flat,-2,No,1,passive,,"Cursed item: Cursed Collar, boss shatter attack",,,VĨNH VIỄN giảm 2 tốc độ. Hero hành động sau địch thường xuyên hơn.,icon_affliction
eff_perm_stress_tick,Trái Tim Đen,Dark Heart,permanent_debuff,No,,permanent,inf,stress,flat_per_turn,+2/turn in dungeon,No,1,on_turn_start,,"Supreme Curse (Warlock), Binding Ritual (Shaman), cursed item",,,VĨNH VIỄN nhận 2 stress/lượt khi trong dungeon. Không áp dụng tại Hamlet.,icon_affliction
eff_perm_heal_cap,Linh Hồn Tan Vỡ,Soul Fracture,permanent_debuff,No,,permanent,inf,heal_received,cap,max 50% HP from healing,No,1,passive,,"Event: Dark Pact gone wrong, boss curse",,,VĨNH VIỄN không thể hồi HP quá 50% HP tối đa từ bất kỳ nguồn heal nào.,icon_affliction
eff_perm_blood_tick,Lời Nguyền Máu,Blood Curse,permanent_debuff,No,,permanent,inf,hp,flat_per_turn,-2/turn,No,1,on_turn_start,,"Event: Cursed altar, boss ability",,,VĨNH VIỄN mất 2 HP mỗi đầu lượt. Ưu tiên loại bỏ bằng Tẩy Trần.,icon_affliction
eff_perm_aggro,Dấu Ấn Quỷ,Demon's Mark,permanent_debuff,No,,permanent,inf,enemy_targeting,aggro,enemies prioritize this hero,No,1,passive,,"Cursed item: Demon Mask (side effect), event curse",,,VĨNH VIỄN khiến địch ưu tiên nhắm vào hero này. Nguy hiểm nếu không phải Tank.,icon_affliction
eff_perm_no_movement,Xiềng Xích Bóng Tối,Shadow Chains,permanent_debuff,No,,permanent,inf,movement,block,cannot use position skills,No,1,passive,,Cursed item: Ghost Chains,,,VĨNH VIỄN không thể dùng kỹ năng thay đổi vị trí (di chuyển hàng trước/sau).,icon_affliction
eff_steal_buff,Cướp Phép Thuật,Buff Steal,special,No,,instant,0,buff,transfer,from enemy to self,No,1,on_use,,Buff Steal (Warlock),,,Chuyển 1 buff từ địch sang mình. Không áp dụng với permanent buff.,
eff_doom_countdown,Đếm Ngược Diệt Vong,Doom Counter,special,Yes,,countdown,4,hp,instant_kill,on_expire,No,1,on_turn_start,,Void Rift (Mage),,,"Hiển thị số đếm ngược trên địch. Khi về 0, kill ngay. Tăng Lữ hoặc Paladin có thể cancel.",
eff_transform,Biến Hình,Transform,special,Yes,,toggle,inf,stats,form_change,varies by form,No,1,on_use,,Bear Form / Hawk Form (Druid),,,"Chuyển đổi hình dạng, thay đổi bộ kỹ năng có sẵn và chỉ số. Không tốn lượt.",
eff_wraith,Dạng Bóng Ma,Wraith Form,special,Yes,,turns,2,dmg_received,physical_immunity,100% physical immune,No,1,passive,,Wraith Form (Necromancer),,,Miễn nhiễm tấn công vật lý 2 lượt + tăng sát thương phép. Vẫn chịu tấn công ma thuật.,
eff_stress_scale_dmg,Sức Mạnh Tuyệt Vọng,Desperate Power,special,Yes,,passive,combat,dmg,stress_scale,varies,No,1,passive,,"Berserker passive, Blood Archer concept, Holy Wrath (Cleric)",,,"Sát thương thay đổi theo mức stress. Khác nhau mỗi lớp: Berserker tăng, Cleric tăng theo stress đội.",
perm_buff_01,Khí Phách Rồng,Dragon Spirit,permanent_buff,No,Paladin skill: Tẩy Trần only,permanent,permanent,"max_hp +8, dmg +10%",compound,"max_hp +8, dmg +10%",No,1,on_apply,relic_buff,Dragon Heart (item_r01),"Golden aura, dragon scale overlay on hero portrait",Strongest relic buff — compensated by requiring boss-level dungeon to obtain,Nhận được khí phách của Rồng cổ đại. Tăng vĩnh viễn HP tối đa +8 và DMG +10%.,
perm_buff_02,Mắt Quỷ,Demon Eye,permanent_buff,No,Paladin skill: Tẩy Trần only,permanent,permanent,crit +12%,compound,crit +12%,No,1,on_apply,relic_buff,Demon Eye (item_r02),Red glowing pupil overlay on hero portrait,High crit bonus offset by -10% Stress Resist applied simultaneously (see perm_debuff_01),Con mắt quỷ ban cho tầm nhìn vượt giới hạn. Tăng vĩnh viễn Crit +12% (nhưng kèm theo nguyền rủa).,
perm_buff_03,Nắm Đấm Thần Thánh,Divine Fist,permanent_buff,No,Paladin skill: Tẩy Trần only,permanent,permanent,flat_dmg +5,compound,flat_dmg +5,No,1,on_apply,relic_buff,Divine Fist (item_r03),White light radiating from hero's hands,Flat damage bonus scales well with multipliers — especially strong for Monk/Warrior,Sức mạnh thần thánh trú ngụ trong đôi tay. Mọi đòn tấn công gây thêm +5 DMG cố định vĩnh viễn.,
perm_buff_04,Vầng Hào Quang Thiêng,Holy Halo,permanent_buff,No,Paladin skill: Tẩy Trần only,permanent,permanent,curse_immune,compound,curse_immune,No,1,on_apply,relic_buff,Holy Halo (item_r04),Soft golden ring floating above hero portrait,Immunity to cursed_item effects and Curse debuffs — rare and highly sought after,Vầng hào quang thiêng bảo hộ linh hồn. Nhân vật miễn nhiễm vĩnh viễn với mọi hiệu ứng nguyền rủa.,
perm_buff_05,Ngọn Lửa Phượng Hoàng,Phoenix Flame,permanent_buff,No,Paladin skill: Tẩy Trần only,permanent,permanent,revive_once (1/dungeon run),compound,revive_once (1/dungeon run),No,1,on_death,relic_buff,Phoenix Tear (item_r05),Faint phoenix silhouette behind hero portrait,Triggers once per dungeon — resets on tavern rest. Most impactful relic for survival,"Lửa Phượng Hoàng tái sinh linh hồn. Khi chết lần đầu trong dungeon, hồi sinh với 50% HP.",
perm_buff_06,Máu Bất Diệt,Undying Blood,permanent_buff,No,Paladin skill: Tẩy Trần only,permanent,permanent,lifesteal +8% on every attack,compound,lifesteal +8% on every attack,No,1,on_hit,boss_reward,Dropped by Blood Baron (Act 2 Boss),Dark crimson veins pulsing on hero portrait border,"Sustain-oriented buff; most effective on high-speed classes (Assassin, Monk) who attack often",Máu của kẻ bất tử chảy trong huyết quản. Mỗi đòn tấn công hút lại 8% DMG gây ra thành HP.,
perm_buff_07,Tâm Hồn Thép,Iron Will,permanent_buff,No,Paladin skill: Tẩy Trần only,permanent,permanent,stress_start -10 at dungeon entry,compound,stress_start -10 at dungeon entry,No,1,on_dungeon_enter,special_event,Obtained via 'The Hermit's Trial' dungeon event (Act 1),Steel-blue glow on hero portrait,Reduces starting stress before exploring — especially useful for heroes with high stress accumulation,"Ý chí kiên định như thép. Khi bước vào dungeon, Stress bắt đầu thấp hơn 10 điểm.",
perm_buff_08,Khiên Linh Hồn,Soul Shield,permanent_buff,No,Paladin skill: Tẩy Trần only,permanent,permanent,"acc +8%, dodge +5%",compound,"acc +8%, dodge +5%",No,1,on_apply,boss_reward,Dropped by The Blind Watcher (Act 3 Boss),Translucent shield shimmer around hero silhouette,Dual stat upgrade — good on any class but exceptional on Archer and Assassin,Linh hồn hình thành lớp khiên vô hình. Tăng vĩnh viễn ACC +8% và tỉ lệ né tránh +5%.,
perm_debuff_01,Mắt Quỷ - Nguyền,Demon Eye - Curse,permanent_debuff,No,Paladin skill: Tẩy Trần only,permanent,permanent,stress_resist -10%,compound,stress_resist -10%,No,1,on_apply,relic_buff (side effect),Demon Eye (item_r02) — applied alongside perm_buff_02,Faint red crack on hero portrait,Paired cost with Demon Eye relic. Stress_resist loss is manageable but accumulates with other stressors,Cái giá của sức mạnh quỷ dữ. Kháng Stress giảm vĩnh viễn -10%.,icon_affliction
perm_debuff_02,Huyết Khế Ước,Blood Pact,permanent_debuff,No,Paladin skill: Tẩy Trần only,permanent,permanent,"hp_max -4, +5% dmg dealt",compound,"hp_max -4, +5% dmg dealt",No,1,on_apply,cursed_item,Cursed Collar (item_cu01) variant — or dark shrine event,Dark red brand mark on hero portrait,Risk/reward trade: lose HP ceiling for damage output. Dangerous at low HP classes,Khế ước bằng máu với bóng tối. HP tối đa -4 vĩnh viễn nhưng DMG tăng +5%.,icon_affliction
perm_debuff_03,Hồn Ma Ám Ảnh,Haunted Soul,permanent_debuff,No,Paladin skill: Tẩy Trần only,permanent,permanent,stress_tick +2/turn in combat,compound,stress_tick +2/turn in combat,No,1,on_turn_start,boss_curse,Applied by The Whispering Shade (Act 2 Boss special attack),Ghostly translucent face overlaid on hero portrait,Slow stress creep — becomes dangerous in long dungeon runs without Stress resist investment,"Linh hồn bị hồn ma bám víu. Mỗi lượt chiến đấu, nhân vật tự nhận thêm 2 Stress.",icon_affliction
perm_debuff_04,Thương Tích Cũ,Old Wound,permanent_debuff,No,Paladin skill: Tẩy Trần only,permanent,permanent,hp_regen blocked (cannot receive HoT effects),compound,hp_regen blocked (cannot receive HoT effects),No,1,on_apply,cursed_item,Shattered Mirror (item_cu07) — triggers if hero HP drops below 30% twice in same dungeon,Bandage wrap visible on hero portrait arm,Disables all HoT (heal-over-time) sources — synergizes badly with Cleric-dependent parties,Vết thương cũ không bao giờ lành hẳn. Nhân vật không thể nhận bất kỳ hiệu ứng hồi máu theo lượt nào.,icon_affliction
perm_debuff_05,Xiềng Xích Bóng Tối,Shadow Chains,permanent_debuff,No,Paladin skill: Tẩy Trần only,permanent,permanent,"spd -2, cannot change formation position",compound,"spd -2, cannot change formation position",No,1,on_apply,cursed_item,Ghost Chains (item_cu04),Dark spectral chains visible hanging from hero's wrists,"Position lock is severe for repositioning-dependent classes (Assassin, Archer). Speed loss compounds it",Xiềng xích bóng tối giam cầm thể xác. Tốc độ -2 vĩnh viễn và không thể thay đổi vị trí đội hình.,icon_affliction
perm_debuff_06,Vết Nguyền Quỷ,Demon Brand,permanent_debuff,No,Paladin skill: Tẩy Trần only,permanent,permanent,aggro +50% (enemies always prioritize this hero),compound,aggro +50% (enemies always prioritize this hero),No,1,on_apply,cursed_item / boss_curse,Demon Mask (item_cu03) or Demon Lord's Seal (Act 3 Boss),Glowing demonic sigil on hero's forehead,"Devastating on fragile back-row classes (Mage, Archer). Strong on Warrior/Paladin who can absorb hits",Dấu hiệu của quỷ vương đánh dấu linh hồn. Kẻ thù ưu tiên tấn công nhân vật này +50% mọi lúc.,icon_affliction
perm_debuff_07,Độc Tố Tích Lũy,Accumulated Toxin,permanent_debuff,No,Paladin skill: Tẩy Trần only,permanent,permanent,-2 HP/turn passively; cannot be cured by antidote,compound,-2 HP/turn passively; cannot be cured by antidote,No,1,on_turn_end,boss_curse / special_event,Applied by Venomscale Basilisk (Act 2 Elite) on a failed resistance check,Green-black vein pattern on hero portrait,The most punishing debuff for survival — 2 HP/turn in a 10-room dungeon = 20 HP lost. Paladin becomes essential,"Chất độc tích lũy không thể đào thải. Mỗi lượt mất 2 HP, không thể chữa bằng giải độc thông thường.",icon_affliction
perm_debuff_08,Bóng Tối Nội Tâm,Inner Darkness,permanent_debuff,No,Paladin skill: Tẩy Trần only,permanent,permanent,"acc -12%, stress_resist -8%",compound,"acc -12%, stress_resist -8%",No,1,on_apply,special_event,Triggered by 'The Dark Mirror' event — hero chooses power at the cost of clarity,Shadowy haze clouding the hero portrait,Dual stat penalty — accuracy loss makes unreliable hitters even worse. Can be triggered by player choice in events,Bóng tối trong lòng che khuất lý trí. ACC -12% và Kháng Stress -8% vĩnh viễn.,icon_affliction
eff_heal,Hồi Máu,Heal,heal,Yes,,instant,instant,hp,flat,+,No,1,on_use,,,,,Hồi HP ngay lập tức cho mục tiêu.,icon_heal
eff_lifesteal,Hút Máu,Lifesteal,buff,Yes,,permanent,inf,lifesteal,percent,+,No,1,on_hit,,,,,Hồi HP bằng % sát thương gây ra trên mỗi đòn đánh.,
eff_hp_boost,Tăng HP Tối Đa,HP Boost,buff,No,unequip,while_equipped,while_equipped,max_hp,flat,+,No,1,on_equip,,,,,Tăng HP tối đa khi trang bị; mất khi tháo ra.,
eff_remove,Giải Trừ,Remove,utility,Yes,,instant,instant,various,flat,remove,No,1,on_use,,,,,Xóa các stack debuff (Poison/Bleed/Burn/Disease) khỏi mục tiêu.,
eff_reset_cd,Reset Cooldown,Reset Cooldown,utility,Yes,,instant,instant,skills,flat,reset,No,1,on_use,,,,,Giảm/đặt lại cooldown của các skill.,
eff_resist_dot,Kháng DoT,DoT Resist,buff,No,unequip,while_equipped,while_equipped,dmg_received,percent,+,No,1,on_apply_dot,,,,,Tỉ lệ kháng khi bị áp Poison/Bleed.,
eff_stress_reduce,Giảm Stress,Reduce Stress,utility,Yes,,instant,instant,stress,flat,-,No,1,on_use,,,,,Giảm stress ngay lập tức cho 1 hero hoặc cả đội.,
eff_stress_start,Stress Bắt Đầu,Starting Stress,buff,No,unequip,while_equipped,while_equipped,stress,flat_start,-,No,1,on_combat_start,,,,,Bắt đầu chiến đấu/dungeon với stress thấp/cao hơn mặc định.,
eff_stress_tick,Stress Theo Lượt,Stress per Turn,buff_or_debuff,No,unequip,while_equipped,while_equipped,stress,flat_per_turn,+/-,No,1,on_turn_start,,,,,Mỗi lượt nhận thêm/bớt stress khi đang trang bị.,
eff_bonus_undead,Bonus vs Undead,Bonus vs Undead,buff,No,unequip,while_equipped,while_equipped,dmg,percent,+,No,1,on_hit_vs_undead,,,,,Tăng sát thương khi tấn công Undead.,
eff_heal_cleanse,Hồi Máu + Giải Bệnh,Heal + Cleanse,heal,Yes,,instant,instant,hp,flat,+,No,1,on_use,,,,,Hồi HP và xóa 1 bệnh đồng thời.,
eff_curse_perm,Nguyền Vĩnh Viễn,Permanent Curse,permanent_debuff,Yes,,permanent,inf,various,compound,-,No,1,on_apply,,,,,Áp đặt nguyền rủa vĩnh viễn lên hero.,icon_affliction
eff_mark_extend,Kéo Dài Đánh Dấu,Extend Mark,buff,No,unequip,while_equipped,while_equipped,targeting,flat,+turns,No,1,on_apply_mark,,,,,Skill Mark kéo dài thêm lượt khi trang bị.,
eff_meditate_free,Thiền Định Miễn Phí,Free Meditate,utility,No,unequip,while_equipped,while_equipped,skills,cooldown_reset,meditate,No,1,on_combat_start,,,,,Skill Thiền Định không tốn lượt khi trang bị.,
eff_rebirth_extra,Hồi Sinh Thêm,Extra Rebirth,buff,No,unequip,while_equipped,while_equipped,skills,flat,+1 use,No,1,on_death,,,,,Skill Hồi Sinh có thể dùng thêm 1 lần/dungeon.,
eff_aura_enhance,Tăng Cường Aura,Aura Enhance,buff,No,unequip,while_equipped,while_equipped,buff,percent,+,No,1,on_aura_apply,,,,,Tăng hiệu quả các aura/buff của hero.,
eff_bear_enhance,Tăng Cường Hình Gấu,Bear Form Enhance,buff,No,unequip,while_equipped,while_equipped,stats,percent,+,No,1,on_form_change,,,,,Tăng chỉ số khi ở dạng Gấu (Druid).,
eff_burn_enhance,Tăng Cường Burn,Burn Enhance,buff,No,unequip,while_equipped,while_equipped,dmg,flat,+per stack,No,1,on_burn_tick,,,,,Mỗi stack Burn gây thêm sát thương.,
eff_lightning_enhance,Tăng Cường Sét,Lightning Enhance,buff,No,unequip,while_equipped,while_equipped,dmg,percent,+,No,1,on_skill_use,,,,,Tăng sát thương các skill hệ Sét.,
eff_poison_enhance,Tăng Cường Độc,Poison Enhance,buff,No,unequip,while_equipped,while_equipped,dmg,percent,+,No,1,on_poison_tick,,,,,Tăng sát thương Poison.,
eff_song_enhance,Tăng Cường Bài Hát,Song Enhance,buff,No,unequip,while_equipped,while_equipped,buff,percent,+,No,1,on_song_apply,,,,,Tăng hiệu quả các skill hát của Bard.,
